gdbm 1.26-2
gdk-pixbuf2 2.44.7-1
gettext 1.0-2
gfxstream 0.1.2-2
ghostscript 10.07.1-1
ghostty 1.3.1-2
ghostty-shell-integration 1.3.1-2
ghostty-terminfo 1.3.1-2
giflib 6.1.3-2
git 2.55.0-1
github-desktop 3.4.14-2
glib-networking 1:2.80.1-1
glib2 2.88.3-1
glibc 2.44+r24+g16be1518495f-1
glm 1.0.3-1
glslang 1:1.4.357.0-1
glu 9.0.3-3
glycin 2.1.5-2
gmp 6.3.0-3
gnulib-l10n 20241231-1
gnupg 2.4.9-3
gnustep-base 1.31.1-3
gnutls 3.8.13-2
go 2:1.26.6-1
gobject-introspection-runtime 1.86.0-2
gperftools 2.18.1-1
gpgme 2.1.2-1
gpgmepp 2.1.0-1
gpm 1.20.7.r38.ge82d1a6-6
graphene 1.10.8-2
graphite 1:1.3.15-1
grep 3.12-2
groff 1.24.1-1
grub 2:2.14-1
grub-btrfs 4.14-1
grub-garuda 2.06-2
grub-theme-garuda-dr460nized 1.0.0-2
gsettings-desktop-schemas 50.1-1
gsettings-system-schemas 50.1-1
gsm 1.0.24-1
gspell 1.14.4-1
gssdp 1.6.6-1
gssproxy 0.9.2-3
gst-libav 1.28.6-1
gst-plugin-pipewire 1:1.6.8-1
gst-plugin-va 1.28.6-1
gst-plugins-bad 1.28.6-1
gst-plugins-bad-libs 1.28.6-1
gst-plugins-base 1.28.6-1
gst-plugins-base-libs 1.28.6-1
gst-plugins-espeak 0.6.0-1
gst-plugins-good 1.28.6-1
gst-plugins-ugly 1.28.6-1
gstreamer 1.28.6-1
gstreamer-meta 1-5
gtest 1.17.0-2
gtk-update-icon-cache 1:4.22.4-1
gtk-vnc 1.5.0-1
gtk3 1:3.24.52-1
gtk4 1:4.22.4-1
gtk4-layer-shell 1.3.0-1
gtksourceview3 1:3.24.11+r30+gd880929f-1
gtksourceview4 4.8.4-2
guile 3.0.11-1
gumbo-parser 0.13.2-1
gunicorn 26.0.0-1
gupnp 1:1.6.10-1
gupnp-igd 1.6.0-2
gzip 1.14-2
harfbuzz 14.3.1-1
harfbuzz-icu 14.3.1-1
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.4.0-1
hostapd 2.12-1
hunspell 1.7.3-1
hwdata 0.410-1
hwinfo 25.5-1
hwloc 2.14.0-1
hyphen 2.8.9-1
i2c-tools 4.4-4
iana-etc 20260530-1
icu 78.3-1
iio-sensor-proxy 3.9-1
ijs 0.35-7
imagemagick 7.1.2.29-2
imath 3.2.2-6
imlib2 1.12.6-2
inetutils 2.8-1
iniparser 4.2.6-2
input-devices-support 1.0.3-1
intel-gmmlib 22.10.0-1
intel-media-driver 26.2.4-1
intel-ucode 20260812-1
inxi 3.3.41.1-1
iproute2 7.1.0-1
iptables 1:1.8.13-1
iputils 20250605-1
iso-codes 4.20.1-1
ivpn 3.15.13-1
ivpn-ui 3.15.13-1
iw 6.17-1
jansson 2.15.0-1
jasper 4.2.9-1
jbig2dec 0.20-2
jbigkit 2.1-8
jemalloc 1:5.3.1-3
jfsutils 1.1.15-9
json-c 0.19-1
json-glib 1.10.8-1
jsoncpp 1.9.6-3
kaccounts-integration 26.04.3-1
kactivitymanagerd 6.7.4-1
karchive 6.28.0-1
kate 26.04.3-1
kauth 6.28.0-1
kbd 2.10.0-1
kbookmarks 6.28.0-1
kcmutils 6.28.0-1
kcodecs 6.28.0-1
kcolorscheme 6.28.0-1
kcompletion 6.28.0-1
kconfig 6.28.0-1
kconfigwidgets 6.28.0-1
kcoreaddons 6.28.0-1
kcrash 6.28.0-1
kdbusaddons 6.28.0-1
kde-cli-tools 6.7.4-1
kde-gtk-config 6.7.4-1
kdeclarative 6.28.0-1
kdecoration 6.7.4-1
kded 6.28.0-1
kdegraphics-mobipocket 26.04.3-1
kdegraphics-thumbnailers 26.04.3-1
kdeplasma-addons 6.7.4-1
kdesu 6.28.0-1
kdialog 26.04.3-1
kdnssd 6.28.0-1
kdsoap 2.3.0-1
kdsoap-ws-discovery-client 0.4.0-3
kernel-modules-hook 0.1.7-3
keyutils 1.6.3-4
kf6-servicemenus-rootactions 1.2.0-1
kfilemetadata 6.28.0-2
kglobalaccel 6.28.0-1
kglobalacceld 6.7.4-1
kguiaddons 6.28.0-1
kholidays 1:6.28.0-1
ki18n 6.28.0-1
kiconthemes 6.28.0-1
kidletime 6.28.0-1
kimageformats 6.28.1-1
kinfocenter 6.7.4-1
kio 6.28.0-1
kio-extras 26.04.3-1
kio-fuse 5.1.1-2
kirigami 6.28.0-1
